fips,2021-01-12,2021-01-14,2021-01-15,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-28
22,225529,194364.0,172208.0,114584.0,221225.0,213402.0,208545.0,228677.0,209614.0,202253.0,256350.0,261579.0,244530.0,222113.0,228017.0,205210.0,185746.0,260836.0,257590.0,236568.0,210146.0,199019.0,169809.0,155709.0,260421.0,243331.0,255831.0,193740.0,159528.0,125995.0,110374.0,109151.0,132914.0,147706.0,139974.0,220336.0,327116.0,321361.0,303246.0,274705.0
25,271943,435749.0,412150.0,350448.0,407060.0,423283.0,484323.0,466208.0,439369.0,425560.0,433122.0,492525.0,528643.0,536496.0,513818.0,481719.0,451953.0,414298.0,530898.0,576146.0,562526.0,520480.0,467332.0,441224.0,441733.0,509780.0,520813.0,536739.0,493165.0,417341.0,370515.0,355752.0,311329.0,310658.0,268178.0,247303.0,449416.0,448403.0,443201.0,355814.0
24,406569,386569.0,370420.0,317528.0,370654.0,413420.0,435113.0,434764.0,403631.0,391340.0,420781.0,431172.0,439044.0,439110.0,408870.0,379196.0,356349.0,362638.0,412166.0,406404.0,417228.0,402887.0,364700.0,346420.0,405310.0,380041.0,443122.0,409910.0,380444.0,342081.0,343882.0,344603.0,319358.0,362238.0,338471.0,502462.0,512622.0,596642.0,578151.0,511468.0
23,78030,75746.0,75746.0,62897.0,79633.0,84673.0,90005.0,85447.0,78635.0,74381.0,91001.0,95142.0,93034.0,87943.0,80058.0,71772.0,66339.0,76089.0,80489.0,101111.0,95314.0,85924.0,76101.0,76101.0,89088.0,92554.0,106129.0,106129.0,106129.0,106129.0,79713.0,79405.0,79405.0,66682.0,38259.0,55883.0,81998.0,92793.0,106313.0,83091.0
26,540465,446415.0,409568.0,290158.0,522493.0,510431.0,498821.0,443014.0,400402.0,368238.0,546755.0,580069.0,545284.0,494837.0,440177.0,385570.0,357056.0,592767.0,586732.0,555192.0,505400.0,446394.0,387635.0,357200.0,536742.0,506401.0,483453.0,431173.0,381819.0,315002.0,477418.0,465224.0,456010.0,345592.0,307039.0,463069.0,585044.0,569376.0,513340.0,386285.0
27,290960,337116.0,321347.0,268065.0,343227.0,392933.0,398866.0,375403.0,359520.0,333836.0,329008.0,412480.0,398135.0,394200.0,351700.0,318806.0,291220.0,271749.0,367274.0,297047.0,299947.0,246884.0,221162.0,204960.0,230560.0,312935.0,366738.0,342844.0,299067.0,261607.0,256175.0,239868.0,242975.0,147310.0,145841.0,174791.0,331189.0,329121.0,328628.0,205805.0
29,323391,352986.0,338353.0,292546.0,327649.0,355818.0,372003.0,369677.0,343663.0,325705.0,325027.0,392025.0,440298.0,426259.0,426959.0,391016.0,373198.0,357694.0,422138.0,440643.0,421362.0,377576.0,336373.0,318086.0,315637.0,351842.0,363783.0,398992.0,322973.0,281949.0,259634.0,246669.0,229300.0,191834.0,171647.0,204182.0,381972.0,359408.0,456636.0,415231.0
69,14928,14052.0,13741.0,12278.0,11859.0,11341.0,10930.0,10611.0,10260.0,10155.0,9912.0,9624.0,9399.0,9102.0,8917.0,8600.0,11702.0,19243.0,18995.0,18684.0,18318.0,17953.0,17761.0,17735.0,17386.0,17120.0,16922.0,16679.0,16256.0,15896.0,15231.0,14907.0,14538.0,13728.0,13559.0,13268.0,12576.0,12177.0,11831.0,11287.0
28,157506,147952.0,149222.0,119978.0,185364.0,198109.0,195876.0,207576.0,180464.0,177140.0,190037.0,206311.0,216803.0,212252.0,202513.0,188599.0,186141.0,197975.0,233945.0,244070.0,220066.0,214986.0,194418.0,188021.0,207546.0,224568.0,236225.0,222692.0,206177.0,186902.0,175736.0,175736.0,177686.0,159633.0,151695.0,215140.0,241803.0,275054.0,275659.0,250704.0
30,36267,51880.0,49136.0,42607.0,54405.0,51736.0,53152.0,46956.0,42910.0,42144.0,41752.0,51856.0,52512.0,49061.0,42378.0,37125.0,35505.0,34326.0,46901.0,47527.0,41139.0,32792.0,25910.0,24402.0,24526.0,47782.0,42786.0,36630.0,32465.0,23015.0,25585.0,22671.0,18155.0,22116.0,18401.0,17370.0,54589.0,54120.0,58325.0,60223.0
37,624840,701488.0,696826.0,598871.0,690770.0,683818.0,667461.0,669593.0,610161.0,570563.0,551178.0,680527.0,549974.0,549152.0,524739.0,471818.0,447732.0,514197.0,617117.0,652201.0,608201.0,547035.0,475734.0,443914.0,434782.0,495796.0,555423.0,537637.0,523625.0,450290.0,389555.0,340550.0,336983.0,294695.0,258080.0,473197.0,606336.0,599333.0,621787.0,517720.0
38,14046,25901.0,22265.0,12067.0,20493.0,23605.0,22645.0,17751.0,13575.0,11508.0,11293.0,19195.0,25849.0,20700.0,16465.0,10135.0,8569.0,22060.0,18578.0,24725.0,18798.0,10883.0,4803.0,1845.0,13620.0,13381.0,21759.0,15983.0,11196.0,6459.0,8748.0,9063.0,6399.0,4244.0,2285.0,20904.0,33737.0,37189.0,32575.0,12361.0
31,102936,114880.0,120305.0,107811.0,131217.0,126159.0,119650.0,114031.0,105254.0,104067.0,102969.0,144702.0,137381.0,130005.0,121099.0,110664.0,107458.0,114963.0,144240.0,149099.0,142039.0,127970.0,115501.0,112314.0,151477.0,157508.0,157721.0,147594.0,133550.0,121792.0,116874.0,132096.0,121943.0,110320.0,102327.0,122214.0,133694.0,137511.0,140620.0,128771.0
33,71737,68514.0,64708.0,55669.0,69982.0,74511.0,77355.0,73134.0,69612.0,68327.0,83523.0,87795.0,90174.0,86142.0,93360.0,88787.0,86585.0,91051.0,96979.0,98939.0,91855.0,96522.0,91813.0,91097.0,98723.0,101033.0,113972.0,107061.0,111200.0,103334.0,104976.0,103309.0,94762.0,67716.0,60632.0,69898.0,100910.0,105127.0,98701.0,90673.0
